session,Period,Subject,Num_subject,Num_others,choice_task1,choice_task2,choice_task3,choice_task4,choice_same_gender,choice_diff_gender,choice_same_neutral,choice_diff_neutral,random_play_order,play_order,game1,game2,game3,game4,year,campus,roomate,gender,visitation,visitation_first,visitation_second,visitation_third,nonvisitation_first,nonvisitation_second,nonvisitation_third,num_male_total,num_male_others,num_female_total,num_female_others,even_num_male,even_num_female,temp_rand_matching1,temp_rand_matching2,temp_rand_matching3,temp_rand_matching4,temp_matching_rank1,temp_matching_id_sg,temp_matching_rank2,temp_matching_id_dg,temp_matching_rank3,temp_matching_id_sn,temp_matching_rank4,temp_matching_id_dn,quiz_phase,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,answer_stage,choice_game1,stage_control,choice_game2,choice_game3,choice_game4,guess_number,confidence_num_other_choice1,identity,whichpart_identity,part2_choice1,part2_choice2,part2_choice3,part2_choice4,part2_choice5,part2_choice6,part2_choice7,part2_choice8,part2_choice9,part2_choice10,part2_choice11,age,major,nationality,religion,religion_other,opinion_experiment,friend,trust,pass,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,generous,lazy,frugal,impatient,studious,cautious,artistic,patient,reckless,rand_check,check_order,check1,check2,check3,check4,female_avatar,male_avatar,neutral_female_avatar,neutral_male_avatar,payment_task_part1,partner_choice,payment_choice_part1,earning,total_num_choice1_task1,total_num_choice1_task2,total_num_choice1_task3,total_num_choice1_task4,other_num_choice1_task1,other_num_choice1_task2,other_num_choice1_task3,other_num_choice1_task4,num_other_choice1,deviation,extra_point,rand_lottery,selected_row,part2_payment_choice,rand_optionb,threshold_optionb,part2_payment,rand_final,payment_part,final_earning,final_cash,selected_order_task,exp_effect
20,1,12,12,11,1,1,1,1,1,1,1,1,0.872,6,4,2,1,3,3,1,0,1,1,Visitors may come as they please.,"Even if you don't have visitors, suitemates may have some and it can be more fun that way.",,Peace and quiet.,,,6,5,6,6,1,1,0.662655344,0.698126313,0.973314926,0.503969374,4,2,2,2,1,1,2,2,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,11,80,0,,1,1,1,1,1,1,1,1,2,2,2,20,Economics,Vietnam,9,-,Game Theory and Choice in the Face of Other Humans versus Random Probability. ,2,0,2,1,2,5,4,5,2,2,1,5,2,4,3,3,4,5,2,2,1,1,2,5,2,4,2,2,1,1,5,5.76,6,1,4,3,2,2,1,3,1,3,2,1,0,4,4,6,6,3,4,5,5,5,6,0,0.560965166,7,1,0.121011825,0.6,40,0.486793724,2,40,86,4,0
1,1,13,16,15,2,2,2,2,2,2,2,2,0.543,4,2,1,4,3,2,1,0,2,1,My guy friends can come visit me easily,There would be more plans on my floor,My floor would be more lively,No boys,More comfortable at times,,8,8,8,7,1,1,0.946984056,0.54987076,0.914826273,0.467654662,1,1,5,5,2,1,6,6,9,4,1,4,1,1,2,1,1,0,2,1,2,2,2,6,80,0,,1,1,1,1,1,1,1,1,1,1,2,20,Physics and Philosophy,Pakistan,5,,Risk taking for an extra amount of money,3,0,2,5,3,4,4,4,3,4,3,2,1,3,4,4,2,2,3,3,1,4,4,3,3,2,4,3,4,5,3,21.888,22,4,2,3,1,2,1,3,3,1,1,2,40,5,6,9,10,5,6,9,10,6,0,3,0.681534124,8,1,0.271021305,0.7,40,0.372507726,2,40,86,2,0
2,1,13,14,13,1,1,1,1,1,1,1,1,0.137,1,1,2,3,4,3,1,0,2,1,your friends can visit you ,you see all of your classmates,,privacy,,,7,7,7,6,0,0,0.452952152,0.107254012,0.287829535,0.989485612,4,2,6,6,5,3,1,1,9,4,2,4,2,1,2,1,1,0,1,1,1,1,1,4,85,0,,1,1,1,1,1,1,1,1,2,2,2,23,Economics,Slovene,3,Orthodox,Risk taking/Trust,2,1,2,1,5,5,5,4,5,4,3,2,2,1,5,5,1,1,4,3,3,2,5,1,3,3,5,5,4,4,1,12.648,13,3,1,2,4,2,1,3,1,4,1,1,60,5,7,12,13,4,7,11,12,4,0,3,0.241129749,3,1,0.147193856,0.2,40,0.439077012,2,40,86,4,0
3,1,13,14,13,1,2,2,2,1,2,2,2,0.275,2,1,2,4,3,2,1,1,2,1,Your friends can visit any time,your roomates live there and don't go home for the weekends,The floor in general is more social ,More quiet,Can get a room to your self,More clean due to there being less people,7,7,7,6,0,0,0.409270509,0.94268517,0.116106936,0.060482557,4,2,1,1,7,4,7,7,9,4,1,4,2,1,2,1,1,0,1,1,2,2,2,2,50,0,,1,1,1,1,1,1,1,1,1,1,2,20,Biology,Egyptian,5,-,"Determing how likely people are to take risks, and how likely they are to go with the safer option. ",3,0,2,5,4,3,4,5,4,3,2,3,2,4,4,4,2,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3.6,4,1,3,4,2,3,1,3,3,1,2,1,0,3,4,6,7,2,4,6,7,2,0,3,0.06652897,1,1,0.840474679,0,40,0.830838709,1,3,34.2,1,0
4,1,13,16,15,1,1,1,1,1,1,1,1,0.639,4,2,1,4,3,3,1,0,2,1,People of opposite gender can visit you anytime,You can have social gatherings that involve all of your friends,,More privacy,Cleaner laundry rooms,,8,8,8,7,1,1,0.538148482,0.766656913,0.396696782,0.656807593,5,3,4,4,5,3,3,3,9,4,2,4,2,1,2,1,1,0,1,1,1,1,1,6,90,1,Men are less risk averse compared to women. I was thinking about gender differences in risk aversion when it comes to game theory ,1,1,1,1,1,1,1,2,2,2,2,23,Economics,Slovene,3,Orthodox,Risk aversion in different genders. Gender stereotypes. Game theory ,2,1,2,2,4,5,5,4,5,4,5,1,1,1,5,5,1,1,4,2,2,3,4,1,3,3,5,5,5,3,1,19.008,20,4,1,3,2,2,1,3,3,2,1,1,60,3,4,8,7,2,4,7,6,4,2,1,0.313781156,4,1,0.132578652,0.3,40,0.885275867,1,61,115.4,1,0
5,1,13,16,15,2,1,2,1,2,1,2,1,0.637,4,2,1,4,3,1,1,1,2,1,Having get-togethers with friends of all genders,,,Complete privacy from the other gender,,,8,8,8,7,1,1,0.163873688,0.694664993,0.02861136,0.22508084,6,3,2,2,7,4,5,5,9,1,4,4,1,1,2,1,1,0,1,1,2,1,2,6,85,0,,1,1,1,1,1,1,1,1,2,2,2,18,Social Research and Public Policy,Ukraine,3,,Risk,1,1,2,3,4,4,3,4,5,3,5,2,1,2,4,4,2,5,2,1,1,1,1,1,1,5,5,3,3,1,1,13.584,14,3,1,4,2,2,1,3,3,2,1,1,60,5,3,7,8,5,3,7,7,3,3,0,0.639021849,8,1,0.976067081,0.7,40,0.143229036,2,40,86,1,0
6,1,13,18,17,1,1,1,1,1,1,1,1,0.133,1,1,2,3,4,2,1,1,1,1,able to meet friends all the time,invite overnight guests,Have a meeting/gathering with both sexes in your floor. Especially watching a match in your floor lounge. ,Silence,Privacy,Easy to get singles room,9,8,9,9,0,0,0.985019506,0.775357206,0.431775661,0.836763137,1,1,4,4,5,3,3,3,9,2,4,4,2,1,2,1,1,0,1,1,1,1,1,8,99,0,,1,1,1,1,1,1,2,2,2,2,2,21,Economics,Ethiopian,10,Orthodox Christian,Trusting competetors and decision making,3,1,2,3,3,3,2,2,4,3,4,2,2,4,4,3,2,2,4,3,3,4,4,4,3,2,2,4,2,4,4,3,4,1,3,4,2,2,1,1,1,2,1,1,60,6,4,5,8,5,4,4,7,5,3,0,0.248634126,3,1,0.43433932,0.2,40,0.452727888,2,40,86,2,0
7,1,13,16,15,1,1,1,1,1,1,1,1,0.073,1,1,2,3,4,3,1,0,1,1,Friends can visit me,Inclusive friends,Greater diversity,helps to observe religious ,More quiet,Some people might not be comfortable with opposite gender in the same building,8,7,8,8,1,1,0.442866964,0.714387763,0.852456499,0.800123157,5,3,3,3,2,1,3,3,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,100,0,-,1,1,1,1,1,1,1,1,1,1,2,21,Economics,Nepali,7,-,Making decision with different genders independently,4,1,2,3,5,3,3,3,4,3,3,4,2,2,3,3,3,3,1,3,1,1,3,4,4,4,3,3,3,2,2,19.2,20,4,1,3,2,2,1,3,3,4,1,1,60,6,6,13,13,5,6,12,12,5,2,1,0.129912781,2,1,0.886413746,0.1,40,0.36366458,2,40,86,4,0
8,1,13,16,15,2,2,2,2,2,2,2,2,0.108,1,1,2,3,4,4,1,1,1,1,You can have people of all genders visit your room.,You don't have to consider the gender of the person when you invite them to come over.,,"If you don't like having people in your room, non-visitation floors are generally quieter.",,,8,7,8,8,1,1,0.291210426,0.041144508,0.679004228,0.619779185,7,4,8,8,5,3,2,2,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,3,60,0,,1,1,1,1,1,1,1,1,1,1,2,21,Economics,Lithuanian,8,,Level of risk aversion among different genders,4,0,2,4,2,4,4,3,3,2,2,4,3,3,4,4,1,1,2,1,2,2,3,4,3,5,2,2,2,2,4,12.96,13,3,1,2,4,2,1,3,3,3,1,2,40,5,4,6,8,5,4,6,8,5,2,1,0.901180547,10,1,0.886146678,0.9,40,0.728415316,1,41,87.4,3,0
9,1,13,18,17,2,2,2,2,2,2,2,2,0.477,3,2,1,3,4,1,1,0,2,1,Seeing my friends whenever I want to ,,,Walk to the laundry room in a sleeping gown,,,9,9,9,8,0,0,0.50781641,0.615730638,0.74101611,0.407887467,6,3,4,4,2,1,5,5,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,5,50,0,,1,1,1,1,1,1,1,1,2,2,2,20,Economics,Chinese,9,-,How an individual's choice would depend on the gender identity of his partner. ,10,1,2,1,5,5,4,4,4,4,5,5,1,1,5,5,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,10.584,11,2,4,1,3,3,3,3,3,1,1,2,40,6,7,13,14,6,7,13,14,7,2,1,0.628286656,7,1,0.32211152,0.6,40,0.118887345,2,40,86,2,1
10,1,13,14,13,1,1,1,1,1,1,1,1,0.344,3,2,1,3,4,4,1,0,2,1,having guys visit my room,,,living with a strong community,,,7,7,7,6,0,0,0.011736746,0.385105134,0.522162574,0.419679616,7,4,6,6,4,2,6,6,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,4,60,0,,1,1,1,1,1,1,1,1,1,1,2,22,Computer Science,USA,9,-,Inclination to take risk,1,1,2,5,3,4,5,4,5,5,5,2,1,5,5,1,1,5,1,1,1,1,3,3,3,3,3,3,3,3,3,4.512,5,1,4,2,3,3,1,3,3,2,1,1,60,5,4,6,6,4,4,5,5,4,0,3,0.683622721,8,1,0.1141962,0.7,40,0.825162942,1,63,118.2,1,0
13,1,13,20,19,2,2,2,2,2,2,2,2,0.307,2,1,2,4,3,4,1,1,1,1,more lively,easier to invite friends,more parties,quietness,less busy laundry room,fewer parties,11,10,9,9,0,0,0.548378685,0.933682713,0.889329383,0.728501049,6,3,2,2,2,1,7,7,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,1,60,0,,1,1,1,1,1,1,1,1,2,2,2,24,Economics,Chinese,9,-,behavioral economics,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19.104,20,4,1,3,2,2,1,3,3,3,1,2,40,6,8,13,10,6,8,13,10,6,5,0,0.452031152,5,1,0.914050906,0.4,40,0.822058045,1,40,86,4,0
14,1,13,22,21,2,2,2,2,2,2,2,2,0.998,6,4,2,1,3,1,1,1,2,1,being able to have friends of all genders coming over,,,respecting others boundaries and need for safe spaces,,,11,11,11,10,0,0,0.622266028,0.117481524,0.269443656,0.494922001,6,3,10,10,6,3,7,7,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,10,50,0,,1,1,1,1,1,1,1,1,2,2,2,18,Computer Science,German,9,,"Testing the trust in other people, expectations of society, and how ones economical behaviour is influenced by assumptions about other peoples behaviour, as well as rational and irrational choices ",0,1,2,3,4,4,4,4,4,5,4,1,1,5,5,5,1,1,2,1,1,1,2,2,4,4,4,4,4,2,2,12.36,13,3,1,2,4,2,1,1,1,4,2,2,40,9,4,11,13,9,4,11,13,13,3,0,0.437529161,5,1,0.383298798,0.4,40,0.475316406,2,40,86,1,0
15,1,13,20,19,2,2,2,2,2,2,2,2,0.707,5,3,2,1,4,1,1,1,2,1,My guy friends can come into the building if they need to bring me anything or i just want to ahng out with them,,,Probably people feel more confortable with people of thei own gender,,,10,10,10,9,1,1,0.491248592,0.980934978,0.560313295,0.567286399,4,2,1,1,4,2,1,1,9,4,1,4,1,1,2,1,1,0,2,1,2,2,2,6,80,0,,1,1,1,1,1,1,1,1,1,2,2,18,engineering,spanish,9,,Cooperation or being selfish,1,0,2,4,3,3,4,3,5,3,3,4,1,3,5,5,5,4,1,3,1,1,4,2,3,5,5,3,4,1,2,11.592,12,2,4,3,1,2,1,3,3,1,1,2,40,7,7,12,13,7,7,12,13,12,6,0,0.92312494,11,2,0.367181932,1,60,0.442897442,2,60,114,3,0
16,1,13,20,19,1,1,2,2,1,1,2,2,0.36,3,2,1,3,4,1,1,0,2,1,I can have my boyfriend over,,,it is quiter since parties are almost never held there,the laundry room is less busy,,10,10,10,9,1,1,0.194193002,0.728717802,0.576619339,0.640722142,8,4,2,2,5,3,3,3,9,4,1,4,2,1,2,1,1,0,1,1,1,2,2,8,80,0,,1,1,1,1,1,1,1,1,1,1,2,20,Interactive Media,Russian,8,,trying to understand how probability of reward affect choice. The choices have some risk since the participants would receive real money depending on their choices and that of the other person,0,0,2,2,2,5,4,2,4,2,1,2,2,2,4,1,4,1,5,5,1,2,4,4,3,1,3,4,3,3,2,18.12,19,4,1,2,3,2,1,1,1,3,1,2,40,8,6,11,12,7,6,11,12,6,2,1,0.988540446,11,2,0.911748505,1,60,0.917240835,1,41,87.4,3,0
1,1,14,16,15,1,1,1,1,1,1,1,1,0.514,4,2,1,4,3,2,1,1,2,1,It is easier to move between floors if you want to visit other people (since most of them live in visitation),You can visit your male friends whenever you want/They can visit you,You learn to co-exist with people from different genders,The laundry room is always neat,It is more likely to get a single room,It is less busy since less people live there,8,8,8,7,1,1,0.910626929,0.889179273,0.479466226,0.148583197,2,1,3,3,5,3,8,8,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,80,0,,1,1,1,1,1,1,1,2,2,2,2,20,Mathematics,Mexican,2,,first part: see if the percepction of gender changes our economic decisions. second part:  test our perceptions of risk when making economic decisions.,2,1,2,1,5,5,4,5,4,4,4,4,2,3,2,1,4,5,1,1,1,1,5,2,4,3,5,5,5,5,1,16.2,17,3,4,1,2,2,1,3,3,1,2,1,0,5,6,9,10,4,6,8,9,6,1,2,0.526331861,6,1,0.702097847,0.5,40,0.357525902,2,40,86,2,1
2,1,14,14,13,1,1,1,1,1,1,1,1,0.296,2,1,2,4,3,4,1,0,2,1,No restrictions on guests,Assumed to be less conservative,,More privacy and quiet,More Single rooms,,7,7,7,6,0,0,0.49055387,0.109568914,0.537990505,0.376747158,3,2,5,5,1,1,6,6,9,4,4,4,2,1,2,1,1,0,1,1,1,1,1,6,60,0,,1,1,1,1,1,1,1,1,1,1,2,22,Theater,New Zealand,9,,"The perception of user icons and gender, and its effects on decisionmaking",5,1,2,2,3,4,4,5,3,3,2,3,3,4,4,3,2,4,3,1,1,1,4,3,3,4,3,2,3,5,3,6.6,7,2,1,3,4,2,1,3,3,4,1,1,60,5,7,12,13,4,7,11,12,4,2,1,0.254040689,3,1,0.766816367,0.2,40,0.104421782,2,40,86,3,1
3,1,14,14,13,2,2,2,2,2,2,2,2,0.497,3,2,1,3,4,4,1,1,1,1,My girlfriend can come to visit me,Female guests can come to my room,I can organize parties for both genders in my room,No advantages of living in an all male boarding school type of place. ,,,7,6,7,7,0,0,0.580795977,0.349790643,0.173412298,0.931339123,4,2,4,4,7,4,1,1,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,2,100,0,,1,1,1,1,1,1,1,2,2,2,2,22,Economics,Latvian,1,-,Game theory + expected outcome probability,0,0,2,1,2,4,5,5,4,2,1,4,1,3,5,5,2,1,1,3,4,1,3,4,3,3,3,3,2,2,4,16.944,17,3,4,1,2,2,1,3,3,1,1,2,40,6,5,6,7,6,5,6,7,5,3,0,0.128405399,2,1,0.152397798,0.1,40,0.708806969,1,40,86,2,0
4,1,14,16,15,2,2,2,1,2,2,2,1,0.987,6,4,2,1,3,3,1,1,2,1,My male friends could come to my room,,,Quiet,,,8,8,8,7,1,1,0.970557767,0.852681475,0.193774976,0.521037737,1,1,2,2,8,4,4,4,9,1,1,4,2,1,2,1,1,0,1,1,2,2,2,10,20,0,,1,1,1,1,1,1,1,2,2,2,2,20,philosophy,Taiwan,9,,How gender identity affects risk taking behavior,1,1,2,3,3,5,5,4,4,4,4,3,2,4,3,3,3,3,4,1,1,3,2,2,2,2,3,3,3,3,3,16.656,17,3,4,1,2,2,1,3,3,2,1,2,40,3,4,8,7,3,4,8,6,6,4,0,0.903186791,10,2,0.062921464,0.9,60,0.193270836,2,60,114,2,1
5,1,14,16,15,2,2,2,2,2,2,2,2,0.093,1,1,2,3,4,1,1,1,1,1,"Can hang out with all of my firends, both men and women, in my room.",,,Are less popular and therefore are more quiet.,,,8,7,8,8,1,1,0.234540396,0.586192071,0.006388949,0.274146855,6,3,4,4,8,4,5,5,9,4,2,4,2,1,2,1,1,0,2,1,2,2,2,2,75,1,"Gender. Even if my answer was the same for both genders, I did doubt on choosing oprion 1 when I was matched with a female.",1,1,1,1,1,1,1,1,2,2,2,19,Economics,Argentinian,2,,Willingness to cooperate based on gender. Differences in trust of different individuals also based in gender,7,0,2,1,2,4,5,1,4,4,2,5,2,1,2,2,4,5,2,4,1,1,1,4,3,5,2,2,1,1,5,6.888,7,2,1,3,4,2,1,3,3,2,1,2,40,3,6,7,8,3,6,7,8,3,1,2,0.608523882,7,1,0.034261899,0.6,40,0.918573193,1,42,88.8,2,0
6,1,14,18,17,1,1,1,1,1,1,1,1,0.265,2,1,2,4,3,3,1,0,1,1,The fact that you can live with people of another gender ,,,Quite atmosphere,,,9,8,9,9,0,0,0.258685118,0.561314293,0.676532307,0.532051234,6,3,6,6,2,1,7,7,9,4,4,4,1,1,2,2,1,0,1,1,1,1,1,5,100,1,Gender. I felt more confident about my decision to cooperate with female avatar.  ,1,1,1,1,1,1,1,1,1,2,2,21,Economics,Kazakh,5,,This experiment was about the decision making process. ,4,0,2,1,4,5,4,3,5,4,2,5,1,1,3,3,3,3,3,3,1,5,5,4,3,5,3,5,3,2,5,17.4,18,3,4,2,1,2,1,1,1,2,1,1,60,6,4,5,8,5,4,4,7,5,0,3,0.072793137,1,1,0.509206358,0,40,0.582006892,1,63,118.2,2,0
7,1,14,16,15,1,1,1,1,1,1,1,1,0.283,2,1,2,4,3,3,1,1,2,1,having friends over,,,only people of the same gender can visit ,,,8,8,8,7,1,1,0.779710661,0.739253641,0.08168046,0.597080295,2,1,4,4,7,4,5,5,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,5,70,0,-,1,1,1,1,1,2,2,2,2,2,2,21,political science,Armenian,3,-,how gender affects decisionmaking ,0,1,2,3,4,3,4,4,3,3,2,3,2,4,4,4,2,2,3,1,1,2,3,3,4,3,3,3,2,3,2,3.696,4,1,3,4,2,2,1,3,3,4,2,1,0,6,7,13,13,5,7,12,12,5,0,3,0.065323164,1,1,0.802162496,0,40,0.624642331,1,3,34.2,3,1
8,1,14,16,15,1,1,1,1,1,1,1,1,0.087,1,1,2,3,4,1,1,1,1,1,More fun,Considered the \qnorm\q,,Cleaner,Quiter,More privacy,8,7,8,8,1,1,0.293216553,0.857538693,0.450265947,0.377246337,6,3,2,2,6,3,5,5,9,4,2,4,1,1,2,1,1,0,1,1,1,1,1,4,50,0,,1,1,1,1,1,1,1,2,2,2,2,19,Unsure,Vietnamese,9,,"I don't really think that much. Decision making based on social classification,maybe?",2,1,2,2,3,4,4,4,4,4,3,3,2,3,3,3,2,4,3,2,1,2,4,4,2,4,3,2,3,2,4,0.072,1,1,2,3,4,3,3,3,3,3,2,1,0,5,4,6,8,4,4,5,7,4,0,3,0.891822353,10,2,0.003584373,0.9,60,0.859456635,1,3,34.2,3,0
9,1,14,18,17,1,1,1,1,1,1,1,1,0.301,2,1,2,4,3,1,1,1,1,1,Can bring over all my friends,Can bring over my girlfriend and hook ups,Can host parties,You have your piece,No parties to disturb you and to make your room untidy,No roomates girlfriend who can annoy you,9,8,9,9,0,0,0.644872685,0.78947382,0.866368602,0.584840208,6,3,2,2,2,1,5,5,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,5,70,0,,1,1,1,1,1,1,1,2,2,2,2,18,Economics,Germany,8,-,What the thinking process behind these decisions waas and whether it differed between female and male participants. These study wanted to find out if participants calculated probabilities,1,1,2,3,4,3,4,2,3,4,2,2,2,4,4,3,3,2,1,2,1,2,3,3,3,4,2,1,2,3,5,21.552,22,4,2,3,1,2,1,3,3,1,1,1,60,8,7,13,14,7,7,12,13,7,2,1,0.532322579,6,1,0.567556546,0.5,40,0.369092345,2,40,86,1,1
10,1,14,14,13,1,1,2,2,1,1,2,2,0.127,1,1,2,3,4,3,1,0,2,1,Your friends of the opposite gender can visit you,Visitation floors are more social,"If you are heterosexual, your signficant other can visit you",As a woman who covers you can take your hijab off,You are not bothered by uninvited males in your suite/room,The number of parties is quite low so yyou arenot bothered by loud sounds ,7,7,7,6,0,0,0.116739352,0.46198995,0.459042594,0.886711971,6,3,4,4,5,3,2,2,9,4,2,4,2,1,2,1,1,0,1,1,1,2,2,4,70,0,,1,1,1,1,1,1,1,1,2,2,2,21,SRPP and Legal Studies ,Pakistani,5,-,How individuals make choices that are in theirinterest versus the general interest. Game theory,2,1,2,4,3,3,4,2,4,4,4,5,2,1,5,5,1,1,2,1,1,3,3,3,3,4,4,4,3,3,3,6.216,7,2,1,3,4,2,3,3,3,1,2,1,0,5,4,6,6,4,4,6,6,4,0,3,0.161610498,2,1,0.990532916,0.1,40,0.033702493,2,40,86,1,0
13,1,14,20,19,1,1,1,2,1,1,1,2,0.214,2,1,2,4,3,2,1,0,2,0,get the chance to meet all your male friends ,celebration of bithday party ,to study in the room together ,silence ,confidence on what you wear ,freedom ,11,11,9,8,0,0,0.422822232,0.716300908,0.084919869,0.16064796,4,2,3,3,9,5,7,7,9,2,3,4,2,2,2,2,1,0,1,1,1,2,1,8,100,0,,1,1,1,1,1,1,1,1,1,1,2,21,Economics ,Ethiopian ,3,-,It was about individual decision making. ,2,0,2,4,4,5,3,4,5,4,2,5,2,3,5,5,1,1,1,5,1,3,3,2,4,3,4,4,4,4,2,8.352,9,2,3,1,4,2,1,3,3,3,0,1,0,7,7,13,10,6,7,12,10,6,2,1,0.16484148,2,1,0.678034243,0.1,40,0.588270259,1,1,31.4,4,0
14,1,14,22,21,2,2,2,2,2,2,2,2,0.507,4,2,1,4,3,2,1,1,1,1,Access to different gender students,Freedom of bringing opposite sex friends over,,Shared with only the same-sex - no trouble with the opposite sex,Reduced opportunities to be in an awkward situation where your roommate is in a sexual intercourse,,11,10,11,11,0,0,0.033640092,0.231558215,0.942431427,0.769462522,11,6,11,11,2,1,3,3,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,11,100,0,,1,1,1,1,1,1,1,2,2,2,2,23,Computer Science / Interactive Media,South Korea,2,,User behavior on game theory and decision-making on statistics,6,0,2,2,3,4,4,4,5,3,4,2,1,4,1,1,5,5,1,4,1,1,4,4,4,4,3,2,1,2,5,19.584,20,4,1,3,2,2,1,3,3,4,1,2,40,4,8,11,13,4,8,11,13,8,3,0,0.379382333,5,1,0.278265587,0.4,40,0.861387099,1,40,86,3,0
15,1,14,20,19,1,1,1,1,1,1,1,1,0.278,2,1,2,4,3,4,1,0,1,1,Can invite other people over for get-togethers,generally more boring and quiet,minimal social interaction,quiet and clean,secluded,higher chance of getting singles,10,9,10,10,1,1,0.108404852,0.875748871,0.312075288,0.532904752,9,5,2,2,6,3,7,7,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,9,100,0,,1,1,1,1,1,1,1,2,2,2,2,22,Mechanical Engineering,Fijian,9,,"How people would make decisions that benefit themselves, assuming the nature of other random people and how people assign value to high risk- high reward schemes",3,0,2,1,2,4,5,2,3,2,2,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,2,5,17.064,18,3,4,2,1,3,3,3,3,1,2,1,0,8,6,12,13,7,6,11,12,7,2,1,0.788829447,9,2,0.249526073,0.8,60,0.999503243,1,1,31.4,1,0
16,1,14,20,19,2,2,2,1,2,2,2,1,0.49,3,2,1,3,4,4,1,0,1,1,Does not restrict you with your friendship group.,Allows for more freedom in where you can hang out with mixed-gender groups.,,Sometimes quieter because there will not be parties as frequently.,,,10,9,10,10,1,1,0.393597797,0.61684164,0.728944503,0.821880344,7,4,7,7,1,1,4,4,9,4,1,4,2,1,2,1,1,0,2,1,2,2,1,10,80,0,,1,1,1,1,1,1,1,1,2,2,2,21,Electrical Engineering,South African,3,,Game Theory,3,0,2,2,4,5,5,4,4,3,4,4,2,1,5,5,4,2,2,3,2,3,3,3,4,4,4,3,2,2,4,13.44,14,3,1,4,2,2,1,1,1,3,1,2,40,6,8,11,12,6,8,11,11,8,2,1,0.110269252,2,1,0.69198254,0.1,40,0.150544618,2,40,86,3,0
1,1,15,16,15,1,1,2,2,1,1,2,2,0.233,2,1,2,4,3,1,1,0,2,1,Friends of opposite sex can visit,More fun,lively,More privacy,No problems of boyfriends visiting roommates,higher concentration levels,8,8,8,7,1,1,0.481311193,0.216405839,0.871911369,0.675019026,5,3,6,6,3,2,4,4,9,4,1,4,2,1,2,1,1,0,1,1,1,2,2,5,85,0,,1,1,1,1,2,1,1,2,1,2,2,18,Biology,Ghanaian,2,,How chances of winning affects our choices,0,0,2,4,4,3,4,3,4,3,4,4,1,3,5,5,2,2,2,4,1,1,4,3,3,5,4,5,4,3,2,16.992,17,3,4,1,2,2,1,2,3,1,1,1,60,5,6,9,10,4,6,9,10,4,1,2,0.494386183,6,1,0.75197901,0.5,40,0.747912526,1,62,116.8,1,0
4,1,15,16,15,1,1,1,1,1,1,1,1,0.562,4,2,1,4,3,3,1,0,1,1,"You can have your friends visit you, regardless of their gender.",You can feel part of the whole community and not feel isolated.,Usually visitation buildings are better located.,Probably less noise.,If one is averse to party culture they may enjoy the living in non visitation more.,Less crowded place.,8,7,8,8,1,1,0.202387901,0.325333806,0.582196931,0.661531082,5,3,7,7,5,3,4,4,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,8,100,0,,1,1,1,1,1,1,1,2,2,2,2,23,Civil Engineering,Bulgarian,3,,It was about checking how people decide when they are given a choice. In the first situation is about cooperation and in the second about risk-aversion of people.,5,0,2,2,3,4,4,5,4,2,3,4,2,3,4,4,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1.944,2,1,2,4,3,1,1,3,3,2,2,1,0,4,3,8,7,3,3,7,6,3,5,0,0.251466041,3,1,0.65732014,0.2,40,0.278801429,2,40,86,1,0
5,1,15,16,15,1,1,1,1,1,1,1,1,0.249,2,1,2,4,3,1,1,1,2,1,Convenient in occasions that my male friends want to visit,"There are more visitation floors, so easier to get a good location room in selection",,Quiter envrionment,More chances to know Emirati classmates,,8,8,8,7,1,1,0.889867697,0.0576048,0.435538578,0.506502645,2,1,8,8,4,2,4,4,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,4,60,0,,1,1,1,1,1,1,1,1,1,2,2,19,Economics,Chinese,8,,Prisoners' delima in game theory and its relation with the participants risk taking level,1,1,2,2,3,4,4,3,3,3,2,2,2,3,3,2,4,4,1,1,1,1,3,2,2,4,3,4,4,4,3,0.96,1,1,2,3,4,2,1,3,3,2,2,1,0,5,3,7,8,4,3,6,7,4,0,3,0.467142541,6,1,0.759431756,0.5,40,0.422998829,2,40,86,2,0
